(‘;Tieduprightnow ;'),;(‘Tieduprightnow '),;Tieduprightnow ;;(‘;Anatole Serret ;'),;(‘Anatole Serret '),;Anatole Serret ;(‘;pop;');(‘pop');pop
(‘;Tieduprightnow ;'),;(‘Tieduprightnow '),;Tieduprightnow ;;(‘;Louie Swain ;'),;(‘Louie Swain '),;Louie Swain ;(‘;pop;');(‘pop');pop
(‘;Tieduprightnow ;'),;(‘Tieduprightnow '),;Tieduprightnow ;;(‘;Noah Hill ;'),;(‘Noah Hill '),;Noah Hill ;(‘;pop;');(‘pop');pop
(‘;Tieduprightnow ;'),;(‘Tieduprightnow '),;Tieduprightnow ;;(‘;Patrick Hetherington ;'),;(‘Patrick Hetherington '),;Patrick Hetherington ;(‘;pop;');(‘pop');pop
(‘;nightcall;'),;(‘nightcall'),;nightcall;;(‘;Kavinsky ;'),;(‘Kavinsky '),;Kavinsky ;(‘;electronique;');(‘electronique');electronique
(‘;nightcall;'),;(‘nightcall'),;nightcall;;(‘;Guy-Manuel de Homem-Christo ;'),;(‘Guy-Manuel de Homem-Christo '),;Guy-Manuel de Homem-Christo ;(‘;electronique;');(‘electronique');electronique
(‘;Shine On You Crazy Diamond;'),;(‘Shine On You Crazy Diamond'),;Shine On You Crazy Diamond;;(‘;David Gilmour ;'),;(‘David Gilmour '),;David Gilmour ;(‘;rock;');(‘rock');rock
(‘;Shine On You Crazy Diamond;'),;(‘Shine On You Crazy Diamond'),;Shine On You Crazy Diamond;;(‘;Richard Wright ;'),;(‘Richard Wright '),;Richard Wright ;(‘;rock;');(‘rock');rock
(‘;Shine On You Crazy Diamond;'),;(‘Shine On You Crazy Diamond'),;Shine On You Crazy Diamond;;(‘;Roger Waters ;'),;(‘Roger Waters '),;Roger Waters ;(‘;rock;');(‘rock');rock
(‘;Welcome to the machine;'),;(‘Welcome to the machine'),;Welcome to the machine;;(‘;David Gilmour ;'),;(‘David Gilmour '),;David Gilmour ;(‘;rock;');(‘rock');rock
(‘;Welcome to the machine;'),;(‘Welcome to the machine'),;Welcome to the machine;;(‘;Richard Wright ;'),;(‘Richard Wright '),;Richard Wright ;(‘;rock;');(‘rock');rock
